Name,ID,MK_0,MK_1,MK_2,MK_3,MK_4,MK_5,MK_6,MK_7,MK_8,MK_9,MK_10,MK_11,Reaction_CO_Cl,Reaction_CS,Reaction_CN,Reaction_2+2,Yield
2DPAAQ,OPS59,-2.077052352,-0.001257654,0.96389825,1.034458331,-0.040207817,0.291713958,1.18290488,2.004256458,1.082118228,0.184638342,-1.278319281,-1.392910535,0,0,1,0,0
2DPASF,OPS60,-2.92166619,10.35880896,-6.478068538,4.233683643,-8.39166218,-3.573847061,-2.246131489,1.626175631,-2.160458751,1.27911542,0.037343942,0.403815336,0,0,1,0,2
2tBuDPASF,OPS61,-2.581258137,10.50282748,-6.900810592,4.114558514,-9.27621066,-4.123670968,0.653041762,-0.652128635,-2.426124328,-0.030478874,0.589762174,0.019783346,0,0,1,0,2
2MeDPASF,OPS62,-2.56769991,10.5680396,-6.51030967,4.23675656,-8.784958626,-4.108436852,-0.454939153,0.362810685,-2.29839028,0.838863771,-0.122105396,0.285894103,0,0,1,0,4
CF3PhDPZ,OPS63,1.444429547,-1.447748345,-1.077964121,-2.109685186,-0.206694835,0.513716251,-1.415088652,0.659503058,0.89719056,1.038498236,-0.154717646,-2.355058608,0,0,1,0,9
OMePhDPZ,OPS64,-1.552919543,-0.342858833,1.696876554,-1.90151624,1.743180948,-3.094157508,2.02091451,-2.583707202,-0.224439769,3.156765927,-2.028031665,-1.198882905,0,0,1,0,4
NapDPZ,OPS65,-0.512041654,-1.944866401,-1.154201314,-1.663099967,0.26712354,-0.150381199,-1.550214029,-0.143409431,0.965017699,-0.655418042,0.237885041,-0.522246028,0,0,1,0,8
3DPA2FBN,OPS66,0.715905086,-1.699897008,-1.71457064,0.706163745,-0.187521114,2.987863219,0.548164687,3.24713369,-1.232888568,1.913459636,0.107380628,-1.125394663,0,0,1,0,87
5CzBN,OPS67,0.511930908,-2.49200242,-2.130210467,-2.640833185,1.409418928,-0.603797629,-1.350987706,0.410803428,-2.446030954,-1.834737838,-0.120162831,0.198822211,0,0,1,0,99
2DPABz,OPS68,-2.151812431,-0.36559822,0.451434472,2.355509977,-0.930018947,1.173887522,1.262700925,2.617569288,1.271284941,0.373785779,1.233700678,-0.726029874,0,0,1,0,0
DPABT,OPS69,-0.371608983,-1.562066578,-1.752623434,-2.480064842,-1.300663538,-0.948164562,-4.218513833,-0.683107974,1.288327784,-0.64245168,-1.517854085,-0.582715932,0,0,1,0,4
PhPNZ,OPS70,-1.554533822,-0.903362485,1.541409845,-1.971223462,0.952062748,-1.245666537,-1.688650716,-2.074225059,1.556332102,2.384740478,1.444604235,-2.317273375,0,0,1,0,4
PhPTZ,OPS71,-1.093972936,-0.742259101,-1.24871038,-2.174365546,-1.630366367,-0.969622355,-4.943104902,-0.984785438,2.81580603,0.155788911,-0.971622334,-2.083702685,0,0,1,0,1
ph_bPTZ,OPS72,-1.093972936,-0.742259101,-1.24871038,-2.174365546,-1.630366367,-0.969622355,-4.943104902,-0.984785438,2.81580603,0.155788911,-0.971622334,-2.083702685,0,0,1,0,3
9_10_DPA,OPS73,-1.634081473,-1.259753914,4.456942604,2.91478888,-1.694441891,2.08352074,-2.506404144,-0.632781607,-0.714985498,-2.614325288,-1.175572609,1.597675284,0,0,1,0,2
9_10_DAA,OPS74,-2.674959362,0.342253654,7.308020472,2.676372607,-0.218384484,-0.860255569,1.064724395,-3.073079379,-1.904442966,1.197858681,-3.441489315,0.921038408,0,0,1,0,2
perylene,OPS75,-1.596721754,-1.089131961,4.462149586,3.220051119,-1.793589695,2.443441377,-2.258406654,-0.419469833,-0.698903017,-2.624389898,-1.221215271,1.336787952,0,0,1,0,56
9_10_DCA,OPS76,-1.241022126,-1.286271581,3.306514546,2.576453433,-1.47627949,2.513843491,-1.49963511,0.252046596,-1.224276949,-2.500634873,-0.977782684,1.138941498,0,0,1,0,0
3_5_diMePh_PDI,OPS77,-2.142992477,1.0608395,2.353557928,-2.681670921,1.839208613,-8.424537923,4.701447451,7.372999628,5.931968668,-3.974887877,-1.635343362,1.430640433,0,0,1,0,0
Ph_NDI,OPS78,-2.496958757,0.851608865,2.38579906,-2.684743839,2.232505059,-7.889948132,2.910255116,8.636364574,6.069900197,-3.534636229,-1.475894023,1.548561667,0,0,1,0,0
Me_TAPB,OPS79,-1.172024497,-0.839450893,-1.111327802,0.58217309,-1.407507116,1.769271421,3.753426845,-1.758087777,1.488737159,-0.042216875,0.261571952,-0.395802688,0,0,1,0,2
Ph_TAPB,OPS80,-1.220766638,-1.752431334,-1.121025595,1.119067271,-1.189445212,1.786738868,0.437054409,0.779390471,1.370506468,0.183650617,0.622459516,0.189549461,0,0,1,0,2
C_152,OPS81,-0.694230218,3.177667433,2.413942658,-1.290659534,1.521533603,1.988840959,3.57405211,-1.866904867,2.541782422,3.53713425,-0.984990049,-4.299649919,0,0,1,0,1
C_337,OPS82,-4.773927912,13.17983863,2.127304395,-9.237581628,9.703072848,10.53889861,1.052459626,-0.428491992,1.676184983,-1.819841235,0.097226162,0.75801644,0,0,1,0,23
C_498,OPS83,-6.98990568,26.01933762,-1.653138759,-7.297294275,2.765670379,2.753075101,-0.700774398,0.11902599,-1.016682907,-0.858755785,0.201200043,1.149214329,0,0,1,0,18
phenylfluorone,OPS84,-3.973168335,2.066057346,12.34649518,2.216976396,2.567093319,-4.689490724,-2.17695721,2.54637323,-4.206810013,-0.642619028,11.64071038,-3.779148352,0,0,1,0,0
resorufin,OPS85,-1.748398136,1.686260045,8.825529744,-0.041900635,1.44685689,-3.159671344,-1.688192452,-0.185837097,0.050724918,1.519425667,4.259905232,-0.939702147,0,0,1,0,0
9_fluorenone,OPS86,-2.051339183,-0.268986698,5.974643546,2.897950699,-0.587507057,1.566110363,-1.637984921,0.227100274,-1.486723689,-2.022027646,-2.329619819,0.649175714,0,0,1,0,6
9_10_phenanthrenequinone,OPS87,-2.664112634,0.590399798,6.666953101,3.722755827,-0.331628119,0.805702962,-1.360753999,1.77520512,-1.782020177,-2.458758842,-1.192623042,0.081757246,0,0,1,0,0
BTPM,OPS88,-2.663993075,0.333272275,5.556882388,4.395663745,-1.459399227,1.423316878,-0.740273231,1.335532064,-0.443166246,-1.352616867,-1.318044145,1.9616201,0,0,1,0,2
2ClTX,OPS89,-1.822614448,0.54288585,6.189981166,1.756967153,-1.36888559,1.235196377,-4.181639499,0.943103774,-0.761107012,2.333357515,-3.560507829,-0.103115013,0,0,1,0,7
anthraquinone,OPS90,-2.599513841,0.501849143,6.222324341,3.50073047,-0.746487671,1.029733793,-1.309526988,0.933023789,-0.916823917,-1.88704958,-2.573187638,0.722515394,0,0,1,0,0
Me_bodipy,OPS91,20.17733436,4.606040752,3.884762422,-0.509538899,-2.030221684,0.334672387,0.232877754,0.016783684,0.772563723,0.248396729,-0.051975476,0.148699935,0,0,1,0,1
Et_bodipy,OPS92,24.63630163,5.825908628,5.068454504,-0.882095651,-2.639542547,0.536652731,0.73877539,1.024063448,1.154568111,-0.38485825,0.027283254,-0.667377689,0,0,1,0,1
CN_bodipy,OPS93,20.362191,4.533312602,3.605090634,-0.823877775,-1.504276233,0.418841683,0.42325097,0.552498136,-0.416368254,-0.256841387,-0.084022764,-0.061706445,0,0,1,0,0
TPP+,OPS94,-1.716715471,-0.411708766,5.45331619,3.375545576,-0.969034716,1.882977469,-2.45194234,-1.494948878,0.132665352,-0.86000959,-0.105725615,2.455694482,0,0,1,0,1
Me_TPP+,OPS95,-1.362749191,-0.202478131,5.421075058,3.378618493,-1.362331162,1.348387678,-0.660750005,-2.758313824,-0.005266177,-1.300261239,-0.265174954,2.337773248,0,0,1,0,0
OMe_TPP+,OPS96,-2.62883685,1.443585999,8.466342758,2.570710358,0.620490591,-2.455725388,2.209861495,-3.543264936,-1.392180165,2.253266396,-2.08680166,1.96856404,0,0,1,0,0
Acr+,OPS97,-0.165521356,-1.052839731,0.929784808,-0.493129628,-0.424350133,0.113687572,-0.750302059,-2.263873178,1.394910619,-0.828642287,-0.679824207,0.655208219,0,0,1,0,1
Acr+_Ph,OPS98,-0.202881075,-1.223461684,0.924577827,-0.798391867,-0.325202329,-0.246233066,-0.99829955,-2.477184952,1.378828138,-0.818577677,-0.634181545,0.916095552,0,0,1,0,1
Acr+_Mes,OPS99,0.29123042,-1.083094698,0.671156109,-0.998276933,0.036706215,-0.70878737,0.057878971,-2.933214562,0.452352196,-1.579602281,-0.692910083,0.254875468,0,0,1,0,0
3_6_tBu_10_ph_Acr+_Mes,OPS100,0.368280375,-1.333360644,-1.146667688,-1.434279826,-0.770138238,-0.82457869,1.413330396,-3.431049794,0.655173136,-2.632436546,0.958906923,-0.787733314,0,0,1,0,0
